time,Nose_x,Nose_y,Nose_conf,LEye_x,LEye_y,LEye_conf,REye_x,REye_y,REye_conf,LEar_x,LEar_y,LEar_conf,REar_x,REar_y,REar_conf,LShoulder_x,LShoulder_y,LShoulder_conf,RShoulder_x,RShoulder_y,RShoulder_conf,LElbow_x,LElbow_y,LElbow_conf,RElbow_x,RElbow_y,RElbow_conf,LWrist_x,LWrist_y,LWrist_conf,RWrist_x,RWrist_y,RWrist_conf,LHip_x,LHip_y,LHip_conf,RHip_x,RHip_y,RHip_conf,LKnee_x,LKnee_y,LKnee_conf,RKnee_x,RKnee_y,RKnee_conf,LAnkle_x,LAnkle_y,LAnkle_conf,RAnkle_x,RAnkle_y,RAnkle_conf,x_min,y_min,x_max,y_max,walk_name,fps,start_frame,width,height,patient_id,is_backward,walk_id,detector
0,202.74558,99.769645,0.90214813,206.00726,94.877469,0.91817909,199.4841,96.467243,0.96133101,212.53027,93.232117,0.86759669,191.33032,94.862173,0.85977006,122.65242,39.663874,,79.536974,33.177271,,137.79001,63.384972,,60.154849,65.551309,,144.2004,87.085745,,77.375226,87.08599,,116.1829,99.994086,,83.817105,100.00591,,114.00891,140.92444,,92.460859,147.43644,,116.2253,188.43006,,96.773629,199.2107,,60.154849,33.177271,212.53027,199.2107,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.0332745,172.90964,78.96181,0.90847427,176.24934,74.223401,0.94985878,169.34486,75.908885,0.93779063,182.78026,71.117025,0.86159796,161.395,72.642516,0.8837499,121.67571,35.566966,,78.525203,31.088562,,136.90144,59.319538,,59.15914,61.504589,,143.22598,85.063581,,76.352057,85.064219,,115.1972,99.984594,,84.802803,100.01541,,115.0368,142.94559,,91.442333,147.4902,,115.30767,188.57154,,95.760775,197.31946,,59.15914,31.088562,182.78026,197.31946,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.0665491,138.84476,56.056007,0.8966319,142.05881,51.510501,0.9283886,135.23882,53.20532,0.91267949,148.578,46.693307,0.91088539,127.04691,47.588579,0.88506907,120.77972,31.795943,0.8982361,77.625864,29.172933,0.87116945,136.20426,55.582136,0.84952009,58.341202,57.811541,0.88741869,142.29186,83.211371,0.88667953,75.42743,83.213033,0.87765408,114.29107,99.959866,0.85008883,85.708927,100.04013,0.8275218,115.99127,144.73797,0.83602226,90.499005,147.53348,0.8505016,114.57885,188.75981,0.88651186,94.823368,195.57964,0.89453816,58.341202,29.172933,148.578,195.57964,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.0998236,116.78887,40.99608,0.8791545,119.56696,36.580021,0.89665771,112.93846,37.948244,0.90579396,126.07777,30.508538,0.91949034,104.45119,30.843404,0.8885026,120.12231,28.992244,0.90081608,77.049199,27.768659,0.84769356,136.03341,52.816824,0.86517292,58.016826,55.157301,0.88332146,141.49028,81.860482,0.90299082,74.789368,81.864812,0.86716986,113.62074,99.895448,0.81461346,86.379258,100.10455,0.80703229,116.72491,145.87484,0.79138005,89.780902,147.54782,0.84070867,114.37044,189.0669,0.88320339,94.111681,194.28895,0.89913589,58.016826,27.768659,141.49028,194.28895,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.133098,108.92537,35.58072,0.87833232,111.33878,31.210033,0.90143305,104.77131,31.999828,0.90132529,117.85531,24.304645,0.92632848,96.161543,24.410272,0.89242655,119.82322,27.710566,0.90310222,77.065601,27.210852,0.85358781,136.42836,51.577327,0.86514634,58.201108,54.2019,0.88640398,140.76295,81.310341,0.8825776,74.651097,81.321621,0.84865135,113.30382,99.727632,0.7988717,86.696176,100.27237,0.79525745,117.13314,146.33575,0.78608596,89.397311,147.46951,0.81486517,114.72019,189.65138,0.87360674,93.734247,193.62233,0.91998643,58.201108,24.304645,140.76295,193.62233,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.166373,106.12653,34.404633,0.86619997,108.41333,30.054233,0.89740336,101.85795,30.511459,0.88237172,114.93414,22.471937,0.91469258,93.205659,22.452785,0.86965758,119.7904,27.722393,0.90476012,77.496071,27.452355,0.85143119,136.85718,51.599188,0.87119704,58.407968,54.414655,0.90993553,140.06384,81.344874,0.90465063,74.68772,81.374259,0.87383729,113.2518,99.560519,0.80904943,86.748201,100.43948,0.78998494,117.29598,146.69341,0.83254284,89.271426,147.33587,0.84608525,115.1221,190.53178,0.89219475,93.606224,193.42149,0.9333359,58.407968,22.452785,140.06384,193.42149,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.199647,105.07961,34.575072,0.87603861,107.34786,30.249537,0.90451783,100.782,30.826371,0.8961758,113.86137,22.568977,0.90878874,92.14432,22.406106,0.8843075,119.94816,28.396042,0.90848136,77.742463,28.088627,0.8502183,137.12716,52.207837,0.89253348,58.397971,54.764855,0.90073973,139.68701,81.771381,0.88475507,74.452921,81.847931,0.89221662,113.38442,99.498904,0.82217336,86.615583,100.5011,0.79182535,117.33602,146.92931,0.83554775,89.302752,147.17918,0.82924312,115.4048,191.5753,0.88757354,93.615391,193.55143,0.92218423,58.397971,22.406106,139.68701,193.55143,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.232922,104.49363,35.010754,0.87061769,106.83882,30.727678,0.89644021,100.21217,31.460132,0.89356196,113.34361,23.409376,0.91095775,91.63754,22.941714,0.884749,120.23741,29.132733,0.89795035,77.721119,28.483921,0.85843956,137.33647,52.803889,0.88870806,58.318464,54.943431,0.87651855,139.63343,82.427947,0.89195746,73.917935,82.627367,0.89525062,113.60034,99.479015,0.84007549,86.399659,100.52098,0.82404268,117.07195,146.86461,0.87257767,89.226121,146.969,0.83825892,115.62116,192.44869,0.88655525,93.486236,193.85231,0.91999668,58.318464,22.941714,139.63343,193.85231,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.266196,103.82439,35.511079,0.87337619,106.4391,31.288136,0.8815881,99.578336,31.83168,0.88437736,112.98791,24.011334,0.90529132,91.093725,23.297658,0.8599925,120.60497,29.432239,0.90394574,77.729255,28.321658,0.85788184,137.52052,52.97853,0.90302843,58.220574,54.689786,0.9246698,139.69949,82.722416,0.83179808,73.357067,83.241923,0.8490566,113.71097,99.478344,0.82346344,86.289035,100.52166,0.80144858,116.4037,146.89349,0.83789229,88.854405,146.95563,0.81756151,115.60403,192.78148,0.8779394,93.021607,193.94289,0.89754868,58.220574,23.297658,139.69949,193.94289,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.299471,103.26039,35.610558,0.86624932,106.11746,31.461417,0.86687309,99.040532,31.819142,0.86643094,112.90181,23.832635,0.88579887,90.634987,23.209699,0.83133882,120.92956,29.069709,0.9153021,77.709973,27.95958,0.86801547,137.63048,52.732511,0.91101331,58.174922,54.13084,0.92232722,139.75135,82.681791,0.86600989,73.142943,83.517164,0.87231767,113.76369,99.487999,0.8073945,86.236307,100.512,0.81114012,115.71114,147.21646,0.85636157,88.448175,147.29779,0.80633515,115.3062,192.69984,0.87535995,92.453661,193.72507,0.85997677,58.174922,23.209699,139.75135,193.72507,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.332745,103.06907,35.258328,0.84790617,105.88493,31.225858,0.85608125,98.848324,31.751538,0.85542166,112.87914,23.471662,0.87805039,90.501504,22.844684,0.80816787,120.96429,28.521972,0.90941006,77.672241,27.871682,0.86540347,137.38235,52.3829,0.88602167,58.48531,53.814075,0.91383892,139.46943,82.616951,0.87711555,73.061224,83.558358,0.87362725,113.69508,99.509297,0.78489542,86.304921,100.4907,0.79634482,115.26593,147.59255,0.85681015,88.277642,147.77351,0.79943359,114.85526,192.56018,0.89344943,91.936469,193.42602,0.85516894,58.48531,22.844684,139.46943,193.42602,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.36602,103.04835,34.763093,0.88538408,106.01211,31.014625,0.885122,98.807843,31.700166,0.8888706,112.86858,23.249023,0.90193462,90.575624,22.525918,0.83513528,120.69646,28.433845,0.91536856,77.620356,28.118276,0.86306906,136.97528,52.204666,0.90036988,59.023171,53.524411,0.89860642,139.01496,82.505089,0.84132242,73.088491,83.43758,0.88296306,113.41383,99.56829,0.80844265,86.586173,100.43171,0.80574089,115.11563,147.77299,0.88038838,88.193071,148.23254,0.82594717,114.2931,192.54757,0.86373007,91.496343,193.07863,0.88696647,59.023171,22.525918,139.01496,193.07863,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
0.399295,102.88394,34.398225,0.87793064,106.29361,30.900877,0.88354087,98.634859,31.368315,0.893282,112.97001,22.797743,0.90295923,90.785563,22.319327,0.86583883,120.40306,28.509172,0.89231062,77.506572,28.216241,0.8504259,136.87829,52.055815,0.89957124,59.49839,52.997528,0.88334417,138.78534,82.438788,0.87355822,73.302165,83.228618,0.84980142,113.26795,99.72831,0.80584347,86.732051,100.27169,0.79593873,115.19715,147.90195,0.86317354,87.990519,148.56393,0.8000772,113.67995,192.61293,0.8665449,91.056107,192.81857,0.89717442,59.49839,22.319327,138.78534,192.81857,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__alphapose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,alphapose
