time,Nose_x,Nose_y,Nose_conf,LEye_x,LEye_y,LEye_conf,REye_x,REye_y,REye_conf,LEar_x,LEar_y,LEar_conf,REar_x,REar_y,REar_conf,LShoulder_x,LShoulder_y,LShoulder_conf,RShoulder_x,RShoulder_y,RShoulder_conf,LElbow_x,LElbow_y,LElbow_conf,RElbow_x,RElbow_y,RElbow_conf,LWrist_x,LWrist_y,LWrist_conf,RWrist_x,RWrist_y,RWrist_conf,LHip_x,LHip_y,LHip_conf,RHip_x,RHip_y,RHip_conf,LKnee_x,LKnee_y,LKnee_conf,RKnee_x,RKnee_y,RKnee_conf,LAnkle_x,LAnkle_y,LAnkle_conf,RAnkle_x,RAnkle_y,RAnkle_conf,x_min,y_min,x_max,y_max,walk_name,fps,start_frame,width,height,patient_id,is_backward,walk_id,detector
0,108.555,10.52336,0.1807791,112.8324,6.228486,0.1864035,104.2775,4.796857,0.2301774,118.5357,-2.361274,0.1705027,95.72256,-5.224528,0.1973285,127.0906,19.11312,0.177252,80.03848,14.81824,0.1374336,134.2197,52.04052,0.1284005,62.92856,47.74564,0.1810574,134.2197,64.92517,0.05853834,70.05777,77.80979,0.09619037,115.684,100.7158,0.0845329,84.31595,99.28418,0.07030674,114.2582,153.686,0.1237036,81.46432,156.5492,0.09737748,111.4066,190.9083,0.1407355,78.61264,195.2031,0.1085859,62.92856,-5.224528,134.2197,195.2031,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv__detectron,30,1,1920,1080,AMB65,false,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv,detectron
0.0332734,110.0722,11.50012,0.1688039,114.3889,7.183057,0.1879925,104.3167,5.744035,0.2082753,118.7054,-0.012057,0.1536837,95.68335,-4.329127,0.2168225,127.3389,17.25621,0.1754265,79.85559,14.37817,0.1181157,135.9721,51.79276,0.1299118,64.02777,48.9147,0.2010642,134.5333,66.18298,0.05322781,71.22223,79.13418,0.1113297,115.8278,100.7195,0.0813762,84.17224,99.28049,0.07013959,114.3889,153.9633,0.1201503,81.29443,155.4024,0.09240609,111.5111,192.817,0.1359038,76.97778,194.2559,0.09538551,64.02777,-4.329127,135.9721,194.2559,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv__detectron,30,1,1920,1080,AMB65,false,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv,detectron
0.0665469,108.6044,10.12936,0.1852129,112.9066,5.815568,0.1885325,104.3022,5.815568,0.2537814,118.6428,-1.37408,0.1541834,95.69781,-4.249938,0.2022087,125.8132,18.75694,0.1869235,79.92303,14.44315,0.1417314,135.8516,54.7052,0.1363494,64.14838,48.95348,0.2006051,134.4176,66.20863,0.04898205,71.31866,79.15002,0.1024629,115.7748,100.719,0.08506963,84.22522,99.28104,0.06987609,114.3406,152.4844,0.1292022,81.35718,153.9224,0.08612665,111.4725,192.7465,0.1506884,78.48901,195.6224,0.1085115,64.14838,-4.249938,135.8516,195.6224,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv__detectron,30,1,1920,1080,AMB65,false,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv,detectron
0.0998203,109.99,12.32873,0.1856465,114.2714,8.017028,0.2257929,104.2814,6.579788,0.2370834,118.5529,-0.606377,0.1628287,95.71854,-4.91808,0.1907585,127.1158,18.07766,0.1715896,80.01993,15.20319,0.1290397,135.6787,52.57128,0.1329698,64.32126,48.25958,0.1963912,134.2515,65.50638,0.05323886,71.45694,79.87872,0.1040127,115.6986,100,0.08151604,84.30136,100,0.07055787,115.6986,153.1776,0.1153362,81.44711,154.6149,0.09976498,111.4172,191.9829,0.1232404,78.59274,194.8574,0.09324497,64.32126,-4.91808,135.6787,194.8574,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv__detectron,30,1,1920,1080,AMB65,false,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv,detectron
0.133094,108.5533,11.66139,0.1595615,112.83,7.35219,0.1826202,104.2767,5.915792,0.2375029,118.5322,-1.266215,0.1648551,95.72326,-5.575415,0.2060634,127.0856,17.40699,0.1765258,80.04217,14.53419,0.1297999,135.639,53.317,0.1262793,64.36089,47.5714,0.1761649,134.2134,64.80821,0.03728598,71.48876,79.1722,0.09738397,115.6812,100.7182,0.08475471,84.31885,99.2818,0.07428467,114.2556,153.865,0.1124047,80.04217,155.3014,0.09066881,112.83,192.6478,0.1227089,77.19097,195.5207,0.09384994,64.36089,-5.575415,135.639,195.5207,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv__detectron,30,1,1920,1080,AMB65,false,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv,detectron
0.166367,109.3554,12.31954,0.1660345,113.6732,6.57,0.191257,103.5982,6.57,0.2154933,117.9909,-0.616927,0.1569449,96.40188,-4.92908,0.200234,126.6266,16.63168,0.1856064,79.13058,13.75692,0.1209005,135.2622,52.5663,0.1312063,63.29855,46.81677,0.1627047,135.2622,62.628,0.04436699,69.05557,77.00184,0.08180097,115.1124,100,0.08397639,84.88761,100,0.07517615,115.1124,154.6206,0.1174909,80.56985,156.058,0.1028746,112.2339,191.9926,0.1345449,77.69125,194.8674,0.09441605,63.29855,-4.92908,135.2622,194.8674,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv__detectron,30,1,1920,1080,AMB65,false,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv,detectron
0.199641,108.5298,11.02707,0.1639592,112.7947,6.721917,0.1964512,104.2649,5.286874,0.2327413,118.4813,-1.888362,0.1591656,95.73513,-6.193504,0.1908926,127.0111,16.76726,0.1752021,80.09713,13.89716,0.1239575,136.9625,54.07848,0.1300941,63.0375,48.3383,0.1685276,135.5409,62.68877,0.04037722,71.56729,78.47429,0.08606058,115.638,100,0.08480114,84.36203,100,0.07218324,114.2163,154.5318,0.1174646,80.09713,155.9669,0.09298679,111.3731,191.843,0.1271188,78.6755,194.7131,0.08644466,63.0375,-6.193504,136.9625,194.7131,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv__detectron,30,1,1920,1080,AMB65,false,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv,detectron
0.232914,109.3453,11.91237,0.1711915,113.6585,7.615412,0.210307,105.0321,6.183092,0.2206177,119.4095,-0.978502,0.1512369,96.4057,-5.275461,0.2078203,126.5982,16.20933,0.1783072,80.59046,13.34469,0.1181957,136.6624,53.44963,0.1267855,63.33753,49.15267,0.1753281,122.285,72.06978,0.03113959,71.96405,77.79906,0.08738247,115.0963,100.7162,0.08089184,84.90375,99.28385,0.06900236,115.0963,155.1443,0.1200319,80.59046,156.5766,0.1010004,112.2208,192.3846,0.1333557,79.15277,195.2492,0.08080401,63.33753,-5.275461,136.6624,195.2492,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv__detectron,30,1,1920,1080,AMB65,false,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv,detectron
0.266188,109.3063,11.22864,0.1698932,113.6015,6.933248,0.2111641,105.0112,5.501455,0.2184824,119.3285,-1.657531,0.1604318,96.42068,-5.952914,0.2089258,127.9189,16.95582,0.1635194,80.67166,12.66043,0.1145749,136.5093,54.18251,0.1381477,63.49081,48.45533,0.1800015,123.6237,74.22766,0.05022447,72.0812,75.65946,0.09770748,116.4649,100,0.08098708,83.53507,100,0.06794013,115.0333,154.4082,0.1174956,80.67166,157.2718,0.1087489,112.1698,191.6349,0.1347638,79.23996,195.9303,0.09287568,63.49081,-5.952914,136.5093,195.9303,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv__detectron,30,1,1920,1080,AMB65,false,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv,detectron
0.299461,110.0588,10.34401,0.1580907,114.3698,7.475023,0.16132,105.7479,4.606032,0.1941616,118.6806,-1.131948,0.1410587,97.12607,-4.00094,0.2061567,127.3025,17.5165,0.1858286,81.31937,13.21301,0.1319077,135.9244,53.37889,0.1536509,64.07565,46.20641,0.1920265,122.9916,74.89632,0.0521348,72.69754,76.33082,0.0880855,115.8067,102.1517,0.07885905,84.19333,97.84826,0.06827082,115.8067,153.7936,0.1194516,79.88235,156.6626,0.09532092,112.9328,192.525,0.1377479,78.4454,195.394,0.08762974,64.07565,-4.00094,135.9244,195.394,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv__detectron,30,1,1920,1080,AMB65,false,AMB65.2019_06_12__13_58_33_ID_78_state_4.csv,detectron
