time,Nose_x,Nose_y,Nose_conf,Neck_x,Neck_y,Neck_conf,RShoulder_x,RShoulder_y,RShoulder_conf,RElbow_x,RElbow_y,RElbow_conf,RWrist_x,RWrist_y,RWrist_conf,LShoulder_x,LShoulder_y,LShoulder_conf,LElbow_x,LElbow_y,LElbow_conf,LWrist_x,LWrist_y,LWrist_conf,MidHip_x,MidHip_y,MidHip_conf,RHip_x,RHip_y,RHip_conf,RKnee_x,RKnee_y,RKnee_conf,RAnkle_x,RAnkle_y,RAnkle_conf,LHip_x,LHip_y,LHip_conf,LKnee_x,LKnee_y,LKnee_conf,LAnkle_x,LAnkle_y,LAnkle_conf,REye_x,REye_y,REye_conf,LEye_x,LEye_y,LEye_conf,REar_x,REar_y,REar_conf,LEar_x,LEar_y,LEar_conf,x_min,y_min,x_max,y_max,walk_name,fps,start_frame,width,height,patient_id,is_backward,walk_id,detector
0,105.744,23.6427,0.274881,102.755,32.2907,0.914211,79.364,32.3238,0.868692,,,,,,,120.579,29.5851,0.846429,,,,,,,105.749,99.9945,0.915455,88.235,99.9965,0.85786,88.156,147.0905,0.857815,85.305,191.3085,0.881227,111.765,100.0035,0.857444,111.747,147.1085,0.850667,108.754,185.4555,0.83894,102.87,17.7345,0.239998,105.892,17.73,0.228243,88.256,11.9407,0.273498,108.818,14.814,0.172858,79.364,11.9407,120.579,191.3085,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__openpose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,openpose
0.0332745,107.1285,26.4207,0.294258,101.4345,32.3075,0.90523,80.7895,32.3601,0.832194,,,,,,,122.0045,32.2575,0.830504,,,,,,,107.1255,99.9915,0.904892,89.6265,99.9835,0.846131,86.7825,147.0575,0.870459,86.7915,191.3615,0.877067,110.3735,100.0165,0.873903,110.3825,147.0615,0.841649,110.3095,185.4195,0.816398,104.2325,20.5771,0.257913,107.2845,20.5872,0.246303,89.6845,14.7304,0.278503,110.1925,17.6597,0.197161,80.7895,14.7304,122.0045,191.3615,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__openpose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,openpose
0.0665491,104.39,26.4499,0.287347,101.38,32.2874,0.92135,80.711,32.3089,0.889977,,,,,,,122.036,29.5989,0.887201,,,,,,,107.125,100.0045,0.932764,86.829,99.9895,0.889148,86.815,147.0855,0.892546,86.779,194.1315,0.911185,113.171,100.0105,0.903274,113.169,147.0865,0.874377,113.16,188.4115,0.873353,104.208,20.5963,0.252502,107.277,17.7862,0.242826,89.604,11.9199,0.282348,110.269,17.6678,0.196301,80.711,11.9199,122.036,194.1315,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__openpose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,openpose
0.0998236,101.5065,26.5363,0.198911,98.5765,32.2691,0.884011,80.8605,32.3329,0.689378,,,,,,,113.2575,29.5336,0.692765,,,,,,,104.3365,99.982,0.887293,92.6825,99.984,0.760055,86.9125,147.06,0.797686,86.8315,191.345,0.804094,107.3175,100.016,0.825211,104.5345,147.117,0.806578,107.4145,191.197,0.772129,98.5815,23.5716,0.166158,104.3725,20.6207,0.152202,89.7935,17.612,0.228239,104.4105,17.6424,0.19054,80.8605,17.612,113.2575,191.345,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__openpose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,openpose
0.133098,101.449,29.2711,0.183753,98.528,32.2925,0.883008,80.778,32.363,0.694493,,,,,,,113.242,29.551,0.675917,,,,,,,104.335,99.9785,0.890953,92.702,99.9835,0.755422,89.727,147.0375,0.775777,86.826,191.3535,0.785679,107.298,100.0165,0.814084,107.286,147.0745,0.784313,107.412,191.2635,0.747391,98.538,26.3763,0.152231,104.336,20.6171,0.140553,89.74,17.6219,0.220205,104.367,17.615,0.183728,80.778,17.615,113.242,191.3535,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__openpose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,openpose
0.166373,102.9905,29.3638,0.347912,99.9745,32.2852,0.896408,79.3395,32.3269,0.863021,,,,,,,123.4795,32.2375,0.865099,,,,,,,105.7685,99.999,0.937493,88.1825,99.99,0.89058,88.1795,147.135,0.885026,85.4465,194.077,0.891609,111.8175,100.01,0.890494,111.8685,147.093,0.848503,117.6125,194.009,0.85121,99.9735,29.1671,0.311049,105.8565,29.1783,0.301447,85.4325,23.47,0.312945,108.8575,20.5471,0.211006,79.3395,20.5471,123.4795,194.077,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__openpose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,openpose
0.199647,102.9225,29.2783,0.218622,99.9715,32.2842,0.881076,79.4045,32.3694,0.754693,,,,,,,117.6625,32.2079,0.746759,,,,,,,105.7495,99.985,0.895731,91.1355,99.979,0.804685,88.2635,147.061,0.832749,88.1905,194.001,0.8375,108.8645,100.021,0.852558,108.8545,147.085,0.838551,114.6905,191.286,0.803115,99.9795,26.3974,0.183037,105.8005,23.501,0.171934,88.3245,20.5162,0.221865,105.9645,20.4646,0.175543,79.4045,20.4646,117.6625,194.001,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__openpose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,openpose
0.232922,92.568,32.2786,0.0633852,98.494,32.2303,0.872167,83.878,32.2083,0.632998,,,,,,,119.088,32.171,0.592372,,,,,,,104.293,99.9875,0.875582,95.573,100.0265,0.766395,95.567,147.1165,0.768451,98.487,194.1255,0.743767,104.427,99.9735,0.760322,104.374,147.0875,0.770539,107.31,194.1285,0.711842,-870.332,-27.0915,0,-870.332,-27.0915,0,104.315,11.7506,0.173095,92.643,17.5324,0.143621,-870.332,-27.0915,119.088,194.1285,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__openpose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,openpose
0.266196,98.502,29.2518,0.10853,95.619,32.2682,0.868697,95.622,32.1956,0.579461,,,,,,,113.235,32.1896,0.485583,,,,,,,101.437,99.9875,0.884096,98.585,100.0225,0.771917,,,,92.726,194.1155,0.711806,101.415,99.9775,0.75705,,,,98.609,194.0635,0.737934,98.54,23.4682,0.0938876,101.417,20.5455,0.0784767,98.517,14.6083,0.194585,95.64,17.5166,0.149255,92.726,14.6083,113.235,194.1155,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__openpose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,openpose
0.299471,104.338,29.1424,0.251132,98.495,32.2666,0.894088,77.881,32.3647,0.848302,,,,,,,119.149,32.1509,0.862293,,,,,,,104.367,99.9975,0.944587,86.78,100.0005,0.892767,86.729,149.7925,0.891397,83.928,194.0115,0.913535,113.22,99.9995,0.873539,110.387,147.0865,0.866296,113.3,194.0265,0.887676,101.484,26.2735,0.228656,104.508,23.3951,0.20724,86.811,23.285,0.243769,110.286,20.3768,0.165549,77.881,20.3768,119.149,194.0265,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv__openpose,30,1,1920,1080,AMB65,false,AMB65.2019_06_18__14_04_31_ID_71_state_5.csv,openpose
